              3D.DAT Grid Points
      X           Y        Longitude    Latitude
    (km)        (km)        (deg E)     (deg N)
     307.740     785.690     336.500      67.500
     313.072     785.315     336.625      67.500
     318.404     784.950     336.750      67.500
     323.738     784.596     336.875      67.500
     329.072     784.253     337.000      67.500
     334.406     783.921     337.125      67.500
     339.742     783.598     337.250      67.500
     345.078     783.287     337.375      67.500
     350.414     782.986     337.500      67.500
     355.751     782.695     337.625      67.500
     361.089     782.415     337.750      67.500
     366.428     782.146     337.875      67.500
     371.766     781.887     338.000      67.500
     377.106     781.639     338.125      67.500
     382.445     781.401     338.250      67.500
     387.786     781.174     338.375      67.500
     393.126     780.957     338.500      67.500
     398.467     780.751     338.625      67.500
     403.809     780.556     338.750      67.500
     409.151     780.371     338.875      67.500
     414.493     780.196     339.000      67.500
     419.836     780.033     339.125      67.500
     425.178     779.879     339.250      67.500
     430.522     779.737     339.375      67.500
     435.865     779.605     339.500      67.500
     441.209     779.483     339.625      67.500
     446.553     779.372     339.750      67.500
     451.897     779.272     339.875      67.500
     457.241     779.182     340.000      67.500
     462.586     779.103     340.125      67.500
     467.930     779.034     340.250      67.500
     473.275     778.976     340.375      67.500
     478.620     778.928     340.500      67.500
     483.965     778.891     340.625      67.500
     489.310     778.865     340.750      67.500
     494.655     778.849     340.875      67.500
     500.000     778.844     341.000      67.500
     505.345     778.849     341.125      67.500
     510.690     778.865     341.250      67.500
     516.035     778.891     341.375      67.500
     521.380     778.928     341.500      67.500
     526.725     778.976     341.625      67.500
     532.070     779.034     341.750      67.500
     537.414     779.103     341.875      67.500
     542.759     779.182     342.000      67.500
     548.103     779.272     342.125      67.500
     553.447     779.372     342.250      67.500
     558.791     779.483     342.375      67.500
     564.135     779.605     342.500      67.500
     569.478     779.737     342.625      67.500
     574.821     779.879     342.750      67.500
     580.164     780.033     342.875      67.500
     585.507     780.196     343.000      67.500
     590.849     780.371     343.125      67.500
     596.191     780.556     343.250      67.500
     601.533     780.751     343.375      67.500
     606.874     780.957     343.500      67.500
     612.214     781.174     343.625      67.500
     617.555     781.401     343.750      67.500
     622.894     781.639     343.875      67.500
     628.234     781.887     344.000      67.500
     633.572     782.146     344.125      67.500
     638.911     782.415     344.250      67.500
     644.248     782.695     344.375      67.500
     649.586     782.986     344.500      67.500
     654.922     783.287     344.625      67.500
     660.258     783.598     344.750      67.500
     665.594     783.921     344.875      67.500
     670.928     784.253     345.000      67.500
     676.262     784.596     345.125      67.500
     681.596     784.950     345.250      67.500
     686.928     785.315     345.375      67.500
     692.260     785.690     345.500      67.500
     697.591     786.075     345.625      67.500
     702.922     786.471     345.750      67.500
     708.251     786.877     345.875      67.500
     713.580     787.294     346.000      67.500
     718.908     787.722     346.125      67.500
     724.235     788.160     346.250      67.500
     729.561     788.609     346.375      67.500
     734.887     789.068     346.500      67.500
     740.211     789.538     346.625      67.500
     745.535     790.018     346.750      67.500
     750.857     790.509     346.875      67.500
     756.179     791.010     347.000      67.500
     761.499     791.522     347.125      67.500
     766.819     792.044     347.250      67.500
     772.137     792.577     347.375      67.500
     777.454     793.120     347.500      67.500
     782.771     793.674     347.625      67.500
     788.086     794.239     347.750      67.500
     793.400     794.813     347.875      67.500
     798.713     795.399     348.000      67.500
     804.025     795.995     348.125      67.500
     809.335     796.601     348.250      67.500
     814.645     797.218     348.375      67.500
     819.953     797.845     348.500      67.500
     825.260     798.483     348.625      67.500
     830.565     799.132     348.750      67.500
     835.870     799.791     348.875      67.500
     841.172     800.460     349.000      67.500
     846.474     801.140     349.125      67.500
     851.774     801.830     349.250      67.500
     857.073     802.531     349.375      67.500
     862.371     803.242     349.500      67.500
     867.667     803.964     349.625      67.500
     872.962     804.696     349.750      67.500
     878.255     805.439     349.875      67.500
     883.547     806.192     350.000      67.500
     114.474     792.380     332.000      67.375
     119.793     791.623     332.125      67.375
     125.113     790.877     332.250      67.375
     130.435     790.141     332.375      67.375
     135.759     789.415     332.500      67.375
     141.084     788.700     332.625      67.375
     146.410     787.996     332.750      67.375
     151.737     787.302     332.875      67.375
     157.066     786.619     333.000      67.375
     162.397     785.946     333.125      67.375
     167.729     785.284     333.250      67.375
     173.062     784.632     333.375      67.375
     178.396     783.991     333.500      67.375
     183.731     783.360     333.625      67.375
     189.068     782.740     333.750      67.375
     194.406     782.130     333.875      67.375
     199.745     781.531     334.000      67.375
     205.086     780.943     334.125      67.375
     210.427     780.365     334.250      67.375
     215.770     779.798     334.375      67.375
     221.113     779.241     334.500      67.375
     226.458     778.695     334.625      67.375
     231.804     778.159     334.750      67.375
     237.151     777.634     334.875      67.375
     242.499     777.120     335.000      67.375
     247.848     776.616     335.125      67.375
     253.198     776.123     335.250      67.375
     258.549     775.640     335.375      67.375
     263.901     775.168     335.500      67.375
     269.254     774.706     335.625      67.375
     274.607     774.255     335.750      67.375
     279.962     773.815     335.875      67.375
     285.317     773.385     336.000      67.375
     290.674     772.966     336.125      67.375
     296.031     772.557     336.250      67.375
     301.389     772.159     336.375      67.375
     306.747     771.772     336.500      67.375
     312.107     771.395     336.625      67.375
     317.467     771.029     336.750      67.375
     322.828     770.673     336.875      67.375
     328.189     770.328     337.000      67.375
     333.552     769.994     337.125      67.375
     338.915     769.670     337.250      67.375
     344.278     769.357     337.375      67.375
     349.642     769.054     337.500      67.375
     355.007     768.762     337.625      67.375
     360.372     768.481     337.750      67.375
     365.738     768.210     337.875      67.375
     371.104     767.950     338.000      67.375
     376.471     767.700     338.125      67.375
     381.839     767.461     338.250      67.375
     387.206     767.233     338.375      67.375
     392.575     767.015     338.500      67.375
     397.943     766.808     338.625      67.375
     403.312     766.612     338.750      67.375
     408.682     766.426     338.875      67.375
     414.052     766.251     339.000      67.375
     419.422     766.086     339.125      67.375
     424.792     765.932     339.250      67.375
     430.163     765.789     339.375      67.375
     435.534     765.656     339.500      67.375
     440.905     765.534     339.625      67.375
     446.277     765.422     339.750      67.375
     451.649     765.321     339.875      67.375
     457.020     765.231     340.000      67.375
     462.393     765.151     340.125      67.375
     467.765     765.082     340.250      67.375
     473.137     765.024     340.375      67.375
     478.510     764.976     340.500      67.375
     483.882     764.939     340.625      67.375
     489.255     764.912     340.750      67.375
     494.627     764.896     340.875      67.375
     500.000     764.891     341.000      67.375
     505.373     764.896     341.125      67.375
     510.745     764.912     341.250      67.375
     516.118     764.939     341.375      67.375
     521.490     764.976     341.500      67.375
     526.863     765.024     341.625      67.375
     532.235     765.082     341.750      67.375
     537.607     765.151     341.875      67.375
     542.980     765.231     342.000      67.375
     548.351     765.321     342.125      67.375
     553.723     765.422     342.250      67.375
